CNTRYID,CNT
8,Albania
12,Algeria
36,Australia
40,Austria
56,Belgium
76,Brazil
100,Bulgaria
124,Canada
152,Chile
158,Chinese Taipei
170,Colombia
188,Costa Rica
191,Croatia
203,Czech Republic
208,Denmark
214,Dominican Republic
233,Estonia
246,Finland
250,France
268,Georgia
276,Germany
300,Greece
344,Hong Kong
348,Hungary
352,Iceland
360,Indonesia
372,Ireland
376,Israel
380,Italy
392,Japan
400,Jordan
410,Korea
411,Kosovo
422,Lebanon
428,Latvia
440,Lithuania
442,Luxembourg
446,Macao
470,Malta
484,Mexico
498,Moldova
499,Montenegro
528,Netherlands
554,New Zealand
578,Norway
604,Peru
616,Poland
620,Portugal
630,Puerto Rico (USA)
634,Qatar
642,Romania
643,Russian Federation
702,Singapore
703,Slovak Republic
704,Vietnam
705,Slovenia
724,Spain
752,Sweden
756,Switzerland
764,Thailand
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Turkey
807,FYROM
826,United Kingdom
840,United States
858,Uruguay
970,B-S-J-G (China)
971,Spain (Regions)
972,USA (Massachusetts)
973,USA (North Carolina)
974,Argentina (Ciudad Autónoma de Buenos)
