NAME,VARLABEL
CNTRYID,Country Identifier
CNT,Country code 3-character
CNTSCHID,Intl. School ID
CNTSTUID,Intl. Student ID
CYC,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS\FT)
NatCen,National Centre 6-digit Code
Region,Region
STRATUM,Stratum ID 7-character (cnt + region ID + original stratum ID)
SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)
OECD,OECD country
ADMINMODE,Mode of Respondent
Option_CPS,Collaborative Problem Solving Option
Option_FL,Financial Literacy Option
Option_ICTQ,ICT Literacy Questionnaire Option
Option_ECQ,Educational Career Questionnaire Option
Option_PQ,Parent Questionnaire Option
Option_TQ,Teacher Questionnaire Option
Option_UH,Une Heure Option
Option_Read,Reading Option
Option_Math,Math Option
LANGTEST_QQQ,Language of Questionnaire
LANGTEST_COG,Language of Assessment
LANGTEST_PAQ,Language of Questionnaire\Assessment (PAQ)
CBASCI,Science Cluster Combination Random Number (S)
BOOKID,Form Identifier
ST001D01T,Student International Grade (Derived)
ST003D02T,Student (Standardized) Birth - Month
ST003D03T,Student (Standardized) Birth -Year
ST004D01T,Student (Standardized) Gender
ST005Q01TA,What is the <highest level of schooling> completed by your mother?
ST006Q01TA,Does your mother have this qualification? <ISCED level 6>
ST006Q02TA,Does your mother have this qualification? <ISCED level 5A>
ST006Q03TA,Does your mother have this qualification? <ISCED level 5B>
ST006Q04TA,Does your mother have this qualification? <ISCED level 4>
ST007Q01TA,What is the <highest level of schooling> completed by your father?
ST008Q01TA,Does your father have this qualification? <ISCED level 6>
ST008Q02TA,Does your father have this qualification? <ISCED level 5A>
ST008Q03TA,Does your father have this qualification? <ISCED level 5B>
ST008Q04TA,Does your father have this qualification? <ISCED level 4>
ST011Q01TA,In your home: A desk to study at
ST011Q02TA,In your home: A room of your own
ST011Q03TA,In your home: A quiet place to study
ST011Q04TA,In your home: A computer you can use for school work
ST011Q05TA,In your home: Educational software
ST011Q06TA,In your home: A link to the Internet
ST011Q07TA,In your home: Classic literature (e.g. <Shakespeare>)
ST011Q08TA,In your home: Books of poetry
ST011Q09TA,In your home: Works of art (e.g. paintings)
ST011Q10TA,In your home: Books to help with your school work
ST011Q11TA,In your home: <Technical reference books>
ST011Q12TA,In your home: A dictionary
ST011Q16NA,"In your home: Books on art, music, or design"
ST011D17TA,In your home: <Country-specific wealth item 1>
ST011D18TA,In your home: <Country-specific wealth item 2>
ST011D19TA,In your home: <Country-specific wealth item 3>
ST012Q01TA,How many in your home: Televisions
ST012Q02TA,How many in your home: Cars
ST012Q03TA,How many in your home: Rooms with a bath or shower
ST012Q05NA,How many in your home: <Cell phones> with Internet access (e.g. smartphones)
ST012Q06NA,"How many in your home: Computers (desktop computer, portable laptop, or notebook)"
ST012Q07NA,"How many in your home: <Tablet computers> (e.g. <iPad庐>, <BlackBerry庐 PlayBookTM>)"
ST012Q08NA,"How many in your home: E-book readers (e.g. <KindleTM>, <Kobo>, <Bookeen>)"
ST012Q09NA,"How many in your home: Musical instruments (e.g. guitar, piano)"
ST013Q01TA,How many books are there in your home?
ST123Q01NA,<this academic year>: My parents are interested in my school activities.
ST123Q02NA,<this academic year>: My parents support my educational efforts and achievements.
ST123Q03NA,<this academic year>: My parents support me when I am facing difficulties at school.
ST123Q04NA,<this academic year>: My parents encourage me to be confident.
ST019AQ01T,Country of Birth International - Self
ST019BQ01T,Country of Birth International - Mother
ST019CQ01T,Country of Birth International - Father
ST021Q01TA,How old were you when you arrived in <country of test>?
ST022Q01TA,International Language at Home
ST124Q01TA,Did you attend <ISCED 0>?
ST125Q01NA,How old were you when you started <ISCED 0>? Years
ST126Q01TA,How old were you when you started <ISCED 1>? Years
ST127Q01TA,Have you ever repeated a <grade>? At <ISCED 1>
ST127Q02TA,Have you ever repeated a <grade>? At <ISCED 2>
ST127Q03TA,Have you ever repeated a <grade>? At <ISCED 3>
ST111Q01TA,Which of the following do you expect to complete?
ST118Q01NA,To what extent do you disagree or agree about yourself? I often worry that it will be difficult for me taking a test.
ST118Q02NA,To what extent do you disagree or agree about yourself? I worry that I will get poor <grades> at school.
ST118Q03NA,To what extent do you disagree or agree about yourself? Even if I am well-prepared for a test I feel very anxious.
ST118Q04NA,I get very tense when I study for a test.
ST118Q05NA,I get nervous when I don't know how to solve a task at school.
ST119Q01NA,I want top grades in most or all of my courses.
ST119Q02NA,I want to be able to select from among the best opportunities available when I graduate.
ST119Q03NA,"I want to be the best, whatever I do."
ST119Q04NA,I see myself as an ambitious person.
ST119Q05NA,I want to be one of the best students in my class.
