CNTRYID,weight
8,40896.32004
12,306646.82652
36,256329.12415
40,73378.76928
56,114901.87444
76,2425960.53886
100,53684.94929
124,331545.67944
152,203781.76
158,251424.18122
170,567847.84319
188,51897.30847
191,40899.1558
203,84518.52341
208,60654.5284
214,132299.73732000001
233,10834.06295
246,56934.26906
250,734943.8344
268,38334.06414
276,741872.01858
300,96156.73977
344,57661.85707
348,84644.16308
352,3962.23248
360,3092772.5381630138
372,59082.40105
376,117030.72029
380,495093.30709
392,1138348.56518
400,108669.37265
410,569106.18139
411,22332.76544
422,42330.50057
428,15319.72739
440,29914.59489
442,5540.00053
446,4507.00022
470,4295.9839
484,1392995.39476
498,29340.91056
499,6776.67739
528,191816.62075
554,54274.43487
578,58082.57636
604,431738.19109
616,345709.14012
620,97213.65715
630,30261.01163
634,12951.30842
642,164215.98286
643,1120932.29896
702,46224.10654
703,49653.55787
704,874859.1932
705,16772.86702
724,399935.40663
752,91490.54051
756,82223.48585
764,634794.6349300001
780,13197.2790997987
784,46950.25587
788,113599.30990000001
792,925365.63367
807,15846.93427
826,627702.74978
840,3524496.80641
858,38286.70914
970,1331793.81375
971,393376.67857
972,60917.974799999996
973,104161.16725
974,32179.58506
